"TurnId","ItemNo","Type","X","Y","FleetNo","MP","Condition","Age","Goods1","Quantity1","Goods2","Quantity2","Money"
"306EAug1808","1077","35","90","84","0","26","87","12","0","0","0","0","0"
"306EAug1808","1078","35","26","92","12","28","93","17","0","0","0","0","0"
"306EAug1808","1079","33","90","84","31","30","74","10","0","0","0","0","0"
"306EAug1808","1080","33","18","41","11","40","100","14","50","0","0","0","0"
"306EAug1808","1081","33","18","41","11","40","100","9","50","0","0","0","0"
"306EAug1808","1082","31","26","92","21","48","96","10","0","0","0","0","0"
"306EAug1808","1083","31","26","92","21","48","97","15","0","0","0","0","0"
"306EAug1808","1084","31","18","41","11","50","100","13","0","0","0","0","0"
"306EAug1808","1085","31","77","94","0","43","87","14","0","0","0","0","0"
"306EDec1808","1077","35","90","84","31","26","87","16","30","0","0","0","0"
"306EDec1808","1078","35","26","92","12","28","93","21","0","0","0","0","0"
"306EDec1808","1079","33","90","84","31","30","74","14","0","0","0","0","0"
"306EDec1808","1080","33","18","41","11","38","94","18","90","0","0","0","0"
"306EDec1808","1081","33","18","41","11","39","97","13","90","0","0","0","0"
"306EDec1808","1082","31","20","97","21","44","89","14","34","0","0","0","0"
"306EDec1808","1083","31","20","97","21","45","90","19","0","0","0","0","0"
"306EDec1808","1084","31","18","41","11","47","95","17","0","0","0","0","0"
"306EDec1808","1085","31","77","94","0","43","87","18","0","0","0","0","0"
"306EFeb1808","1077","35","18","41","0","30","100","6","0","0","0","0","0"
"306EFeb1808","1078","35","7","34","0","30","100","11","0","0","0","0","0"
"306EFeb1808","1079","33","90","84","31","40","100","4","28","0","0","0","0"
"306EFeb1808","1080","33","18","41","11","40","100","8","0","0","0","0","0"
"306EFeb1808","1081","33","18","41","11","40","100","3","0","0","0","0","0"
"306EFeb1808","1082","31","22","80","21","50","100","4","61","0","0","0","0"
"306EFeb1808","1083","31","22","80","21","50","100","9","0","0","0","0","0"
"306EFeb1808","1084","31","18","41","11","50","100","7","0","0","0","0","0"
"306EFeb1808","1085","31","7","34","0","50","100","8","0","0","0","0","0"
"306EFeb1809","1018","31","7","34","0","50","100","1","0","0","0","0","0"
"306EFeb1809","1020","31","7","34","0","50","100","1","0","0","0","0","0"
"306EFeb1809","1021","31","7","34","0","50","100","1","0","0","0","0","0"
"306EFeb1809","1023","31","7","34","0","50","100","1","0","0","0","0","0"
"306EFeb1809","1024","31","7","34","0","50","100","1","0","0","0","0","0"
"306EFeb1809","1077","35","1","94","31","25","84","18","0","0","0","0","0"
"306EFeb1809","1078","35","1","19","12","26","86","23","21","100","29","0","0"
"306EFeb1809","1079","33","1","94","31","28","71","16","0","0","0","0","0"
"306EFeb1809","1080","33","18","42","11","35","88","20","0","0","0","0","0"
"306EFeb1809","1081","33","18","42","11","37","93","15","0","0","0","0","0"
"306EFeb1809","1082","31","84","98","21","40","80","16","34","0","0","0","0"
"306EFeb1809","1083","31","84","98","21","40","80","21","0","0","0","0","0"
"306EFeb1809","1084","31","18","42","11","45","91","19","0","0","0","0","0"
"306EFeb1809","1085","31","89","79","0","42","85","20","0","0","0","0","0"
"306EJan1808","1077","35","18","41","0","30","100","5","0","0","0","0","0"
"306EJan1808","1078","35","7","34","0","30","100","10","0","0","0","0","0"
"306EJan1808","1079","33","90","84","0","40","100","3","0","0","0","0","0"
"306EJan1808","1080","33","18","41","0","40","100","7","0","0","0","0","0"
"306EJan1808","1081","33","18","41","0","40","100","2","0","0","0","0","0"
"306EJan1808","1082","31","22","80","0","50","100","3","0","0","0","0","0"
"306EJan1808","1083","31","22","80","0","50","100","8","0","0","0","0","0"
"306EJan1808","1084","31","18","41","0","50","100","6","0","0","0","0","0"
"306EJan1808","1085","31","7","34","0","50","100","7","0","0","0","0","0"
"306EJan1809","1077","35","84","74","31","25","85","17","0","0","0","0","0"
"306EJan1809","1078","35","26","92","12","28","93","22","0","0","0","0","0"
"306EJan1809","1079","33","84","74","31","29","72","15","0","0","0","0","0"
"306EJan1809","1080","33","36","47","11","36","90","19","0","0","0","0","0"
"306EJan1809","1081","33","36","47","11","38","94","14","0","0","0","0","0"
"306EJan1809","1082","31","90","74","21","40","81","15","34","0","0","0","0"
"306EJan1809","1083","31","90","74","21","40","81","20","0","0","0","0","0"
"306EJan1809","1084","31","36","47","11","46","92","18","0","0","0","0","0"
"306EJan1809","1085","31","77","94","0","43","87","19","0","0","0","0","0"
"306EJul1808","1077","35","90","84","0","26","87","11","0","0","0","0","0"
"306EJul1808","1078","35","26","92","12","28","93","16","0","0","0","0","0"
"306EJul1808","1079","33","90","84","31","30","74","9","0","0","0","0","0"
"306EJul1808","1080","33","18","41","11","40","100","13","0","0","0","0","0"
"306EJul1808","1081","33","18","41","11","40","100","8","0","0","0","0","0"
"306EJul1808","1082","31","26","92","21","48","96","9","0","0","0","0","0"
"306EJul1808","1083","31","26","92","21","48","97","14","0","0","0","0","0"
"306EJul1808","1084","31","18","41","11","50","100","12","0","0","0","0","0"
"306EJul1808","1085","31","77","94","0","43","87","13","0","0","0","0","0"
"306EJun1808","1077","35","90","84","0","26","87","10","0","0","0","0","0"
"306EJun1808","1078","35","22","80","12","28","94","15","15","0","0","0","0"
"306EJun1808","1079","33","90","84","31","30","74","8","0","0","0","0","0"
"306EJun1808","1080","33","18","41","14","40","100","12","0","0","0","0","0"
"306EJun1808","1081","33","18","41","14","40","100","7","0","0","0","0","0"
"306EJun1808","1082","31","26","92","21","48","96","8","0","0","0","0","0"
"306EJun1808","1083","31","26","92","21","48","97","13","0","0","0","0","0"
"306EJun1808","1084","31","18","41","14","50","100","11","0","0","0","0","0"
"306EJun1808","1085","31","81","93","0","45","90","12","0","0","0","0","0"
"306EMar1808","1077","35","51","87","0","29","97","7","0","0","0","0","0"
"306EMar1808","1078","35","7","34","12","30","100","12","15","0","0","0","0"
"306EMar1808","1079","33","84","75","31","39","98","5","0","0","0","0","0"
"306EMar1808","1080","33","18","41","11","40","100","9","0","0","0","0","0"
"306EMar1808","1081","33","18","41","11","40","100","4","0","0","0","0","0"
"306EMar1808","1082","31","16","87","21","49","98","5","0","0","0","0","0"
"306EMar1808","1083","31","16","87","21","49","98","10","0","0","0","0","0"
"306EMar1808","1084","31","18","41","11","50","100","8","0","0","0","0","0"
"306EMar1808","1085","31","7","34","12","50","100","9","0","0","0","0","0"
"306ENov1808","1077","35","90","84","31","26","87","15","30","0","0","0","0"
"306ENov1808","1078","35","26","92","12","28","93","20","0","0","0","0","0"
"306ENov1808","1079","33","90","84","31","30","74","13","0","0","0","0","0"
"306ENov1808","1080","33","28","43","11","38","96","17","0","0","0","0","0"
"306ENov1808","1081","33","28","43","11","39","98","12","0","0","0","0","0"
"306ENov1808","1082","31","20","97","21","44","89","13","0","0","0","0","0"
"306ENov1808","1083","31","20","97","21","45","90","18","0","0","0","0","0"
"306ENov1808","1084","31","28","43","11","48","96","16","0","0","0","0","0"
"306ENov1808","1085","31","77","94","0","43","87","17","0","0","0","0","0"
"306EOct1808","1077","35","90","84","0","26","87","14","0","0","0","0","0"
"306EOct1808","1079","33","90","84","31","30","74","12","0","0","0","0","0"
"306EOct1808","1085","31","77","94","0","43","87","16","0","0","0","0","0"
"307EApr1808","1169","35","13","19","0","29","97","4","0","0","0","0","0"
"307EApr1808","1170","35","8","47","17","29","98","8","0","0","0","0","0"
"307EApr1808","1171","35","25","22","21","29","96","9","0","0","0","0","0"
"307EApr1808","1172","35","18","91","12","29","98","21","44","680","45","0","0"
"307EApr1808","1173","35","9","46","0","30","100","15","0","0","0","0","0"
"307EApr1808","1174","35","38","53","0","30","100","5","0","0","0","0","0"
"307EApr1808","1175","33","18","91","12","39","98","9","45","0","0","0","0"
"307EApr1808","1176","33","25","22","21","38","94","12","0","0","0","0","0"
"307EApr1808","1177","33","38","51","0","37","92","10","0","0","0","0","0"
"307EApr1808","1178","33","13","19","0","39","97","7","0","0","0","0","0"
"307EApr1808","1179","33","13","19","0","39","97","17","0","0","0","0","0"
"307EApr1808","1180","33","13","19","15","40","100","6","30","0","0","0","0"
"307EApr1808","1181","33","56","79","0","40","100","12","0","0","0","0","0"
"307EApr1808","1182","31","18","91","12","49","99","19","0","0","0","0","0"
"307EApr1808","1183","31","13","19","0","47","95","7","0","0","0","0","0"
"307EApr1808","1184","31","25","22","21","46","93","9","0","0","0","0","0"
"307EApr1808","1185","31","13","19","0","48","96","5","0","0","0","0","0"
"307EApr1808","1186","31","13","19","0","47","95","4","0","0","0","0","0"
"307EApr1808","1187","31","18","91","12","49","98","9","0","0","0","0","0"
"307EApr1808","1188","31","18","91","12","49","98","10","0","0","0","0","0"
"307EApr1808","1189","31","25","22","21","47","95","8","0","0","0","0","0"
"307EApr1808","1190","31","56","79","0","50","100","6","0","0","0","0","0"
"307EApr1808","1191","31","13","19","0","48","97","13","0","0","0","0","0"
"307EApr1808","1192","31","23","20","0","50","100","9","0","0","0","0","0"
"307EApr1809","1019","35","56","79","0","30","100","2","0","0","0","0","0"
