"TurnId","OrderNo","Depot","Batt1","Batt2","Batt3","Batt4","Batt5","Batt6","Batt7","BrigadeName"
"306EAug1808","1","","","","","","","0","0","<Brigade Name>"
"306EAug1808","2","","","","","","","0","0","<Brigade Name>"
"306EAug1808","3","","","","","","","0","0","<Brigade Name>"
"306EAug1808","4","","","","","","","0","0","<Brigade Name>"
"306EAug1808","5","","","","","","","0","0","<Brigade Name>"
"306EAug1808","6","","","","","","","0","0","<Brigade Name>"
"306EAug1808","7","","","","","","","0","0","<Brigade Name>"
"306EAug1808","8","","","","","","","0","0","<Brigade Name>"
"306EDec1808","1","","","","","","","0","0","<Brigade Name>"
"306EDec1808","2","","","","","","","0","0","<Brigade Name>"
"306EDec1808","3","","","","","","","0","0","<Brigade Name>"
"306EDec1808","4","","","","","","","0","0","<Brigade Name>"
"306EDec1808","5","","","","","","","0","0","<Brigade Name>"
"306EDec1808","6","","","","","","","0","0","<Brigade Name>"
"306EDec1808","7","","","","","","","0","0","<Brigade Name>"
"306EDec1808","8","","","","","","","0","0","<Brigade Name>"
"306EFeb1808","1","","","","","","","0","0","<Brigade Name>"
"306EFeb1808","2","","","","","","","0","0","<Brigade Name>"
"306EFeb1808","3","","","","","","","0","0","<Brigade Name>"
"306EFeb1808","4","","","","","","","0","0","<Brigade Name>"
"306EFeb1808","5","","","","","","","0","0","<Brigade Name>"
"306EFeb1808","6","","","","","","","0","0","<Brigade Name>"
"306EFeb1808","7","","","","","","","0","0","<Brigade Name>"
"306EFeb1808","8","","","","","","","0","0","<Brigade Name>"
"306EJan1808","1","","","","","","","0","0","<Brigade Name>"
"306EJan1808","2","","","","","","","0","0","<Brigade Name>"
"306EJan1808","3","","","","","","","0","0","<Brigade Name>"
"306EJan1808","4","","","","","","","0","0","<Brigade Name>"
"306EJan1808","5","","","","","","","0","0","<Brigade Name>"
"306EJan1808","6","","","","","","","0","0","<Brigade Name>"
"306EJan1808","7","","","","","","","0","0","<Brigade Name>"
