"TurnId","X","Y","State","ProductionSite","Population"
"306EAug1808","1","1"," "," ","."
"306EAug1808","1","2"," "," ","."
"306EAug1808","1","3"," "," ","."
"306EAug1808","1","4"," "," ","."
"306EAug1808","1","5"," "," ","."
"306EAug1808","1","6"," "," ","."
"306EAug1808","1","7"," "," ","."
"306EAug1808","1","8"," "," ","."
"306EAug1808","1","9"," "," ","."
"306EAug1808","1","10"," "," ","."
"306EAug1808","1","11"," "," ","."
"306EAug1808","1","12"," "," ","."
"306EAug1808","1","13"," "," ","."
"306EAug1808","1","14"," "," ","."
"306EAug1808","1","15"," "," ","k"
"306EAug1808","1","16"," "," ","g"
"306EAug1808","1","17"," "," ","."
"306EAug1808","1","18"," "," ","."
"306EAug1808","1","19"," "," ","."
"306EAug1808","1","20"," "," ","."
"306EAug1808","1","21"," "," ","."
"306EAug1808","1","22"," "," ","."
"306EAug1808","1","23"," "," ","."
"306EAug1808","1","24"," "," ","."
"306EAug1808","1","25"," "," ","."
"306EAug1808","1","26"," "," ","."
"306EAug1808","1","27"," "," ","."
"306EAug1808","1","28"," "," ","."
"306EAug1808","1","29"," "," ","."
"306EAug1808","1","30"," "," ","."
"306EAug1808","1","31"," "," ","."
"306EAug1808","1","32"," "," ","."
"306EAug1808","1","33"," "," ","."
"306EAug1808","1","34"," "," ","."
"306EAug1808","1","35"," "," ","."
"306EAug1808","1","36"," "," ","."
"306EAug1808","1","37"," "," ","."
"306EAug1808","1","38"," "," ","."
"306EAug1808","1","39"," "," ","."
"306EAug1808","1","40"," "," ","."
"306EAug1808","1","41"," "," ","."
"306EAug1808","1","42"," "," ","."
"306EAug1808","1","43"," "," ","."
"306EAug1808","1","44"," "," ","."
"306EAug1808","1","45"," "," ","."
"306EAug1808","1","46"," "," ","."
"306EAug1808","1","47"," "," ","."
"306EAug1808","1","48"," "," ","."
"306EAug1808","1","49"," "," ","."
"306EAug1808","1","50"," "," ","."
"306EAug1808","1","51"," "," ","."
"306EAug1808","1","52"," "," ","."
"306EAug1808","1","53"," "," ","."
"306EAug1808","1","54"," "," ","."
"306EAug1808","1","55"," "," ","."
"306EAug1808","1","56"," "," ","."
"306EAug1808","1","57"," "," ","."
"306EAug1808","1","58"," "," ","."
"306EAug1808","1","59"," "," ","."
"306EAug1808","1","60","M","/","1"
"306EAug1808","1","61","M","/","1"
"306EAug1808","1","62","M","%","1"
"306EAug1808","1","63","M",".","1"
"306EAug1808","1","64","?",".","0"
"306EAug1808","1","65","?",".","1"
"306EAug1808","1","70","?",".","0"
"306EAug1808","1","71","?",".","0"
"306EAug1808","1","72","?",".","0"
"306EAug1808","1","73","?",".","0"
"306EAug1808","1","74","?",".","1"
"306EAug1808","1","75","?",".","0"
"306EAug1808","1","76","e",".","1"
"306EAug1808","1","77","?",".","0"
"306EAug1808","1","78","?",".","0"
"306EAug1808","1","79","?",".","0"
"306EAug1808","1","80","?",".","1"
"306EAug1808","1","81","?",".","0"
"306EAug1808","1","82","?",".","0"
"306EAug1808","1","83","?",".","0"
"306EAug1808","1","84","?",".","1"
"306EAug1808","1","85"," "," ","."
"306EAug1808","1","86"," "," ","."
"306EAug1808","1","87"," "," ","."
"306EAug1808","1","88"," "," ","."
"306EAug1808","1","89"," "," ","."
"306EAug1808","1","90"," "," ","."
"306EAug1808","1","91"," "," ","."
"306EAug1808","1","92"," "," ","."
"306EAug1808","1","93"," "," ","."
"306EAug1808","1","94"," "," ","."
"306EAug1808","1","95"," "," ","."
"306EAug1808","1","96"," "," ","."
"306EAug1808","1","97"," "," ","."
"306EAug1808","1","98"," "," ","."
"306EAug1808","1","99"," "," ","."
"306EAug1808","2","1"," "," ","."
"306EAug1808","2","2"," "," ","."
"306EAug1808","2","3"," "," ","."
"306EAug1808","2","4"," "," ","."
"306EAug1808","2","5"," "," ","."
"306EAug1808","2","6"," "," ","."
"306EAug1808","2","7"," "," ","."
"306EAug1808","2","8"," "," ","."
"306EAug1808","2","9"," "," ","."
"306EAug1808","2","10"," "," ","."
"306EAug1808","2","11"," "," ","."
"306EAug1808","2","12"," "," ","."
"306EAug1808","2","13"," "," ","."
"306EAug1808","2","14"," "," ","."
"306EAug1808","2","15"," "," ","."
"306EAug1808","2","16"," "," ","."
"306EAug1808","2","17"," "," ","."
"306EAug1808","2","18"," "," ","."
"306EAug1808","2","19"," "," ","."
"306EAug1808","2","20"," "," ","."
"306EAug1808","2","21"," "," ","."
"306EAug1808","2","22"," "," ","."
"306EAug1808","2","23"," "," ","."
"306EAug1808","2","24"," "," ","."
"306EAug1808","2","25"," "," ","."
"306EAug1808","2","26"," "," ","."
"306EAug1808","2","27"," "," ","."
"306EAug1808","2","28"," "," ","."
"306EAug1808","2","29"," "," ","."
"306EAug1808","2","30"," "," ","."
"306EAug1808","2","31"," "," ","."
"306EAug1808","2","32"," "," ","."
"306EAug1808","2","33"," "," ","."
"306EAug1808","2","34"," "," ","."
"306EAug1808","2","35"," "," ","."
"306EAug1808","2","36"," "," ","."
"306EAug1808","2","37"," "," ","."
"306EAug1808","2","38"," "," ","."
"306EAug1808","2","39"," "," ","."
"306EAug1808","2","40"," "," ","."
"306EAug1808","2","41"," "," ","."
"306EAug1808","2","42"," "," ","."
"306EAug1808","2","43"," "," ","."
"306EAug1808","2","44"," "," ","."
"306EAug1808","2","45"," "," ","."
"306EAug1808","2","46"," "," ","."
"306EAug1808","2","47"," "," ","."
"306EAug1808","2","48"," "," ","."
"306EAug1808","2","49"," "," ","."
"306EAug1808","2","50"," "," ","."
"306EAug1808","2","51"," "," ","."
"306EAug1808","2","52"," "," ","."
"306EAug1808","2","53"," "," ","."
"306EAug1808","2","54"," "," ","."
"306EAug1808","2","55"," "," ","."
"306EAug1808","2","56"," "," ","."
"306EAug1808","2","57"," "," ","."
"306EAug1808","2","58"," "," ","."
"306EAug1808","2","59","M",".","1"
"306EAug1808","2","60","M","/","1"
"306EAug1808","2","61","M","/","1"
"306EAug1808","2","62","M",".","1"
"306EAug1808","2","63","M",".","0"
"306EAug1808","2","64","?",".","0"
"306EAug1808","2","65","?",".","1"
"306EAug1808","2","70","?",".","0"
"306EAug1808","2","71","?",".","0"
"306EAug1808","2","72","?",".","0"
"306EAug1808","2","73","?",".","0"
"306EAug1808","2","74","?",".","1"
"306EAug1808","2","75","?",".","0"
"306EAug1808","2","76","e",".","0"
"306EAug1808","2","77","?",".","1"
